https://litteraturbanken.se/forfattare/SandelM/titlar/Virveln/sida/1/etext,1913,Virveln,Sandel Maria
https://litteraturbanken.se/forfattare/AnderssonD/titlar/Kolarhistorier/sida/1/etext,1914,Kolarhistorier,Andersson Dan
https://litteraturbanken.se/forfattare/AnderssonD/titlar/KolvaktarensVisor/sida/3/etext,1915,Kolvaktarens visor,Andersson Dan
https://litteraturbanken.se/forfattare/AnderssonD/titlar/DetKallasVidskepelse/sida/1/etext,1916,Det kallas vidskepelse,Andersson Dan
https://litteraturbanken.se/forfattare/KochM/titlar/GudsVackraVarldI/sida/III/etext,1916,Guds vackra värld (part 1),Koch Martin
https://litteraturbanken.se/forfattare/KochM/titlar/GudsVackraVarldII/sida/3/etext,1916,Guds vackra värld (part 2),Koch Martin
https://litteraturbanken.se/forfattare/FitinghoffL/titlar/Brittsommar/sida/1/etext,1917,Brittsommar,Fitinghoff Laura
https://litteraturbanken.se/forfattare/AnderssonD/titlar/DeTreHemlosa/sida/3/etext,1918,De tre hemlösa,Andersson Dan
https://litteraturbanken.se/forfattare/AnderssonD/titlar/DavidRammsArv/sida/3/etext,1919,David Ramms arv,Andersson Dan
https://litteraturbanken.se/forfattare/BergerH/titlar/Spoksekretaren/sida/3/etext,1919,Spöksekretären och andra noveller,Berger Henning
https://litteraturbanken.se/forfattare/SandelM/titlar/Hexdansen/sida/3/etext,1919,Hexdansen,Sandel Maria
https://litteraturbanken.se/forfattare/AnderssonD/titlar/Chi-mo-ka-ma/sida/3/etext,1920,Chi-mo-ka-ma,Andersson Dan
